MODELNAME,REWARD
TRPO_BAYRN,1591.183991973427
TRPO_BAYRN,1678.4304533693921
TRPO_BAYRN,1598.695943837013
TRPO_BAYRN,1649.0387179809863
TRPO_BAYRN,1598.2574915726827
TRPO_BAYRN,1649.4637833143045
TRPO_BAYRN,1641.6424521896283
TRPO_BAYRN,1604.5833473101213
TRPO_BAYRN,1663.2496864561012
TRPO_BAYRN,1585.5587129077965
TRPO_BAYRN,1667.897793907384
TRPO_BAYRN,1640.776733080022
TRPO_BAYRN,1601.7416257341222
TRPO_BAYRN,1650.5978182183676
TRPO_BAYRN,1648.177676146971
TRPO_BAYRN,1602.460393357875
TRPO_BAYRN,1567.5166943595416
TRPO_BAYRN,1607.1069302404007
TRPO_BAYRN,1610.210004366684
TRPO_BAYRN,1667.8215310016851
TRPO_BAYRN,1640.3251094489688
TRPO_BAYRN,1657.1223241375
TRPO_BAYRN,1643.5957098068593
TRPO_BAYRN,1639.4707761717025
TRPO_BAYRN,1659.0766237574628
TRPO_BAYRN,1641.5259491518736
TRPO_BAYRN,1600.1954052072094
TRPO_BAYRN,1614.299134096988
TRPO_BAYRN,1593.3181294728108
TRPO_BAYRN,1628.0958605579456
TRPO_BAYRN,1578.5686378505343
TRPO_BAYRN,1669.7335446141064
TRPO_BAYRN,1657.8182404386662
TRPO_BAYRN,1648.7640057483482
TRPO_BAYRN,1613.1541418854758
TRPO_BAYRN,1636.916411705714
TRPO_BAYRN,1570.2058666279681
TRPO_BAYRN,1635.4849722786391
TRPO_BAYRN,1627.8421314714558
TRPO_BAYRN,1630.4155619066337
TRPO_BAYRN,1643.834265869645
TRPO_BAYRN,1568.2826936760086
TRPO_BAYRN,1619.0382319833313
TRPO_BAYRN,1643.6412044879462
TRPO_BAYRN,1603.7824483690283
TRPO_BAYRN,1612.3208464502586
TRPO_BAYRN,1635.0052218454136
TRPO_BAYRN,1654.749178915756
TRPO_BAYRN,1634.8874379633298
TRPO_BAYRN,1620.1837842578823
TRPO_BAYRN,1681.0869134227623
TRPO_BAYRN,1670.097279881152
TRPO_BAYRN,1601.2122074607325
TRPO_BAYRN,1612.4917538285433
TRPO_BAYRN,1674.7024028479318
TRPO_BAYRN,1678.3389140363463
TRPO_BAYRN,1664.659257937394
TRPO_BAYRN,1586.7126923793278
TRPO_BAYRN,1668.9266611779665
TRPO_BAYRN,1622.6936689167892
TRPO_BAYRN,1671.0219080158765
TRPO_BAYRN,1648.7111304945793
TRPO_BAYRN,1603.3002482658167
TRPO_BAYRN,1558.5948867548834
TRPO_BAYRN,1569.7250519548913
TRPO_BAYRN,1618.3070903497153
TRPO_BAYRN,1608.372344849999
TRPO_BAYRN,1610.8981402234283
TRPO_BAYRN,1643.9727532465383
TRPO_BAYRN,1657.7307166843236
TRPO_BAYRN,1639.736744181276
TRPO_BAYRN,1641.5668422720364
TRPO_BAYRN,1654.1746077527966
TRPO_BAYRN,1654.9524886555803
TRPO_BAYRN,1598.1088550625434
TRPO_BAYRN,1639.7855394080698
TRPO_BAYRN,1672.4168880145173
TRPO_BAYRN,1632.2488567111302
TRPO_BAYRN,1650.8038963531299
TRPO_BAYRN,1627.488815343064
TRPO_BAYRN,1679.2491248020322
TRPO_BAYRN,1629.339889476546
TRPO_BAYRN,1674.8567125771012
TRPO_BAYRN,1668.7758113209754
TRPO_BAYRN,1638.8103838928307
TRPO_BAYRN,1625.712482944315
TRPO_BAYRN,1674.6199038154953
TRPO_BAYRN,1654.5645896997078
TRPO_BAYRN,1625.3951476558175
TRPO_BAYRN,1614.7480465535507
TRPO_BAYRN,1658.8692328186924
TRPO_BAYRN,1618.618453129184
TRPO_BAYRN,1634.6941164647449
TRPO_BAYRN,1642.7950290011354
TRPO_BAYRN,1598.0580617054907
TRPO_BAYRN,1672.2150762952492
TRPO_BAYRN,1603.5477379996003
TRPO_BAYRN,1638.0010805010002
TRPO_BAYRN,1632.1719964449378
TRPO_BAYRN,1601.9450772102152
MODELNAME,REWARD
